Wheat;Beetroot;Cloves;Broad_Bean;Green_Onion;Autumn_Potatoes;Sunflower;Maize;Tomatoes;Cucumbers;Okra;Watermelon;RHS
1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2395
0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2260
100.0;50.0;50.0;50.0;100.0;100.0;50.0;100.0;100.0;100.0;100.0;100.0;419190
100.0;50.0;50.0;25.0;50.0;150.0;50.0;100.0;100.0;50.0;50.0;50.0;397560
0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;12.0;0.0;0.0;0.0;7000
1.0;1.0;2.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;3.0;1.0;13075
6.0;29.0;32.0;14.0;54.0;60.0;0.0;0.0;18.0;13.0;29.0;8.0;50593
2.0;0.0;17.0;23.0;0.0;0.0;22.0;6.0;50.0;102.0;77.0;31.0;554800
0.0;0.0;0.0;0.0;0.0;12.0;35.0;24.0;80.0;0.0;112.0;58.0;562400
9.0;8.0;7.0;34.0;26.0;22.0;0.0;0.0;52.0;0.0;43.0;0.0;562400
1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;103056
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;103056
0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;103056
0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;954
390.0;355.0;370.0;430.0;440.0;0.0;275.0;0.0;100.0;133.0;213.0;100.0;20699716
275.0;0.0;470.0;305.0;0.0;0.0;1430.0;188.0;1015.0;955.0;1343.0;1215.0;20929709
0.0;0.0;150.0;0.0;0.0;750.0;443.0;840.0;1683.0;0.0;1748.0;1095.0;21159705
300.0;295.0;305.0;303.0;210.0;860.0;0.0;0.0;0.0;0.0;0.0;0.0;21159705
276.0;186.4;172.8;193.6;288.0;520.0;195.2;193.6;248.0;210.4;200.0;228.0;1156684
