alpha_type,iter,alpha,status,X_1_1,X_1_2,X_1_3,X_1_4,X_1_5,X_1_6,X_1_7,X_1_8,X_1_9,X_1_10,X_1_11,X_1_12,X_2_1,X_2_2,X_2_3,X_2_4,X_2_5,X_2_6,X_2_7,X_2_8,X_2_9,X_2_10,X_2_11,X_2_12,Y_1_1,Y_1_2,Y_1_3,Y_1_4,Y_1_5,Y_1_6,Y_1_7,Y_1_8,Y_1_9,Y_1_10,Y_1_11,Y_1_12,Y_2_1,Y_2_2,Y_2_3,Y_2_4,Y_2_5,Y_2_6,Y_2_7,Y_2_8,Y_2_9,Y_2_10,Y_2_11,Y_2_12,obj_value,f1,f2,f3
alpha_lin,0,0.0,Optimal,1500,443,113,113,113,113,1695,113,113,113,113,113,1500,443,113,113,113,113,1695,113,113,113,113,113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0000000000000004,7360348.8,24.0,9310.0
alpha_lin,1,0.001001001001001001,Optimal,1500,113,113,443,113,113,258,1276,113,113,386,114,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9997509348714884,9497513.6,24.0,9310.0
alpha_lin,2,0.002002002002002002,Optimal,1500,113,113,443,113,113,258,1276,113,113,386,114,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995018697429767,9497513.6,24.0,9310.0
alpha_lin,3,0.003003003003003003,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9992528797632082,9497821.6,24.0,9310.0
alpha_lin,4,0.004004004004004004,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9990038396842789,9497821.6,24.0,9310.0
alpha_lin,5,0.005005005005005005,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9987547996053467,9497821.6,24.0,9310.0
alpha_lin,6,0.006006006006006006,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985057595264171,9497821.6,24.0,9310.0
alpha_lin,7,0.007007007007007007,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9982567194474875,9497821.6,24.0,9310.0
alpha_lin,8,0.008008008008008008,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980076793685553,9497821.6,24.0,9310.0
alpha_lin,9,0.009009009009009009,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9977586392896258,9497821.6,24.0,9310.0
alpha_lin,10,0.01001001001001001,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975095992106962,9497821.6,24.0,9310.0
alpha_lin,11,0.011011011011011011,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9972605591317641,9497821.6,24.0,9310.0
alpha_lin,12,0.012012012012012012,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970115190528346,9497821.6,24.0,9310.0
alpha_lin,13,0.013013013013013013,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9967624789739048,9497821.6,24.0,9310.0
alpha_lin,14,0.014014014014014014,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9965134388949728,9497821.6,24.0,9310.0
alpha_lin,15,0.015015015015015015,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9962643988160431,9497821.6,24.0,9310.0
alpha_lin,16,0.016016016016016016,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9960153587371134,9497821.6,24.0,9310.0
